App;Spend in USD;3D ROAS;7D ROAS;14D ROAS;30D ROAS;90D ROAS;Impressions;Clicks;Installs;CTR;Install Rate;eCPC;eCPM;1D Retention;3D Retention;7D Retention;3D Total Revenue;7D Total Revenue;14D Total Revenue;30D Total Revenue;90D Total Revenue
idle balls;59357.3;46.47;63.85;84.8;112.91;132.1;1602160;407629;76892;25.44;18.86;0.15;37.05;78.1;59.2;39.5;27584.91;37899.91;50333.28;67017.84;78409.85
Taps to Riches - iOS (GC);15018.49;41.67;60.07;79.43;105.62;119.2;117942;15076;8365;12.78;55.49;1;127.34;80.6;64.7;45.1;6258.59;9020.87;11929.09;15862.78;17901.36
merge town!;13745.43;31.44;46.74;62.18;82.6;103.61;362992;40163;14498;11.06;36.1;0.34;37.87;74.5;64.7;43.1;4321.45;6425;8546.34;11353.89;14241.69
Bowmasters;13153.64;29.39;38.45;48.08;56.97;59.18;1187677;278614;33284;23.46;11.95;0.05;11.08;70.4;51.5;34.1;3866.15;5057.96;6323.63;7494.16;7784.84
Kick the Buddy;8521.03;34.88;45.6;57.83;67.4;68.39;217599;19414;8858;8.92;45.63;0.44;39.16;65.8;44.3;28.1;2972.26;3885.52;4927.63;5743.37;5827.69
merge town!;7031.84;29.14;41.97;55.84;70.14;87.78;320213;101526;8001;31.71;7.88;0.07;21.96;80.3;72;30.8;2049.1;2951.38;3926.72;4932.43;6172.21
One More Brick;6105.93;30.21;46.35;60.31;94.65;150.76;123576;7001;3398;5.67;48.54;0.87;49.41;77.4;67.2;44.2;1844.47;2830.4;3682.63;5779.54;9205.49
rider;4786.79;20.4;26.61;33.1;47.75;48.72;152405;9442;3824;6.2;40.5;0.51;31.41;76.4;61.8;38;976.73;1273.89;1584.65;2285.64;2331.9
idle balls;4625.19;36.49;48.52;65.45;81.39;93.29;69686;8519;4610;12.22;54.11;0.54;66.37;68.6;46.3;33.6;1687.56;2243.95;3027.05;3764.39;4315
weed farm;4605.92;42.11;60.04;75.92;94.69;98.89;120784;6583;3718;5.45;56.48;0.7;38.13;82.4;64.8;49.1;1939.71;2765.55;3497.01;4361.16;4555.01
Hill Climb Racing 2 (real;4599.26;47.21;66.92;93.76;122.19;138.64;126292;9701;4309;7.68;44.42;0.47;36.42;84.1;68.5;47;2171.12;3077.9;4312.36;5619.76;6376.41
sniper3dApple;4562.09;31.98;44.15;54.96;71.41;81.19;293646;45286;4486;15.42;9.91;0.1;15.54;70.2;50.3;33.7;1459.14;2014.21;2507.19;3257.76;3703.93
dune;4390.6;36.13;50.74;63.2;76.38;79.54;271592;65017;4409;23.94;6.78;0.07;16.17;82;63.2;38;1586.49;2227.78;2774.9;3353.62;3492.07
AnonymousGame_545259;3996.78;28.03;39.13;50.33;71.38;72.98;72665;7056;3202;9.71;45.38;0.57;55;75.4;54.6;37.5;1120.44;1564.1;2011.55;2853;2916.98
Bowmasters;3955.8;28.01;41.08;50.79;72.88;77.46;521185;119395;12723;22.91;10.66;0.03;7.59;67.8;47.4;32.5;1107.93;1625.05;2009.25;2882.89;3064
Despicable bear;3802.12;15.3;20.39;25.32;30.12;30.43;68291;8399;3507;12.3;41.75;0.45;55.68;70.5;40.4;25.4;581.63;775.2;962.59;1145.38;1156.8
stack jump;3787.13;28.6;43.9;59.46;74.94;76.97;90643;6499;2350;7.17;36.16;0.58;41.78;76.3;54.1;38.4;1083.19;1662.46;2251.79;2838.26;2915.14
paper.io;3727.12;14.56;20.53;26.32;31.85;34.64;162289;52615;3792;32.42;7.21;0.07;22.97;63.8;35.4;24.6;542.49;765.25;981.16;1187.26;1291.08
dune;3627.9;31.32;45.49;59.92;70.05;71.14;115605;7658;3179;6.62;41.51;0.47;31.38;82.3;65.4;49;1136.11;1650.26;2173.72;2541.34;2580.93
rolly vortex;2978.69;23.11;29.3;36.65;44.21;46.76;54855;5781;2340;10.54;40.48;0.52;54.3;69.4;51.7;33.1;688.34;872.7;1091.63;1316.74;1392.76
BlockCraft3d;2971.81;11.52;14.09;17.97;23.1;23.75;145301;14458;3008;9.95;20.81;0.21;20.45;66.1;43.6;31.8;342.33;418.81;533.96;686.45;705.95
weed farm;2883.83;42.6;60.78;85.52;109.89;127.86;78603;4887;2556;6.22;52.3;0.59;36.69;78;62.8;46.3;1228.63;1752.67;2466.32;3169.03;3687.34
flappy dunk;2847.58;23.03;31.46;37.93;44.99;51.69;92456;6321;2242;6.84;35.47;0.45;30.8;73.7;51.4;32.8;655.76;895.87;1080.09;1281.27;1471.87
flappy dunk;2844.71;15.87;23.93;30.33;39.21;51.66;115858;33099;2580;28.57;7.79;0.09;24.55;0;0;0;451.5;680.72;862.87;1115.39;1469.47
rolly vortex;2718.83;32.03;43.06;52.37;66.76;75.41;117569;30136;3441;25.63;11.42;0.09;23.13;78.4;57.1;70;870.87;1170.61;1423.87;1815.1;2050.27
puzzledom;2690.51;30.16;41.56;52.57;69.44;77.39;333015;76223;7074;22.89;9.28;0.04;8.08;63.6;48.3;35.8;811.37;1118.05;1414.44;1868.18;2082.31
Kick the Buddy;2409.89;27.97;33.81;39.28;43.1;43.16;67050;5513;2394;8.22;43.42;0.44;35.94;71;46.9;25.5;674.05;814.87;946.72;1038.78;1040.16
color;2304.84;34.69;38.77;42.92;46.88;48.57;299189;87937;4972;29.39;5.65;0.03;7.7;68.1;53.8;33.9;799.65;893.65;989.27;1080.49;1119.55
paper.io;2235.26;19.35;25.62;35.14;41.62;45.66;50075;6245;2296;12.47;36.77;0.36;44.64;64.7;54.5;50;432.43;572.78;785.47;930.33;1020.59
BTD Battles (iOS);2212.39;18.34;24.63;30.21;35.25;42.74;60934;7995;2029;13.12;25.38;0.28;36.31;70;50;0;405.79;544.83;668.26;779.79;945.53
merge town!;2186.45;41.72;67.47;95.53;119.24;122.84;173929;21125;7666;12.15;36.29;0.1;12.57;83;64.5;46;912.13;1475.31;2088.65;2607.12;2685.9
merge town!;2181.05;22.41;36.01;47.18;64.98;68.51;60687;3589;2137;5.91;59.54;0.61;35.94;83.6;66.3;51.7;488.72;785.3;1028.94;1417.33;1494.28
idle balls;1789.5;54.27;80.64;104.23;140.37;148.65;32703;2291;1371;7.01;59.84;0.78;54.72;84.7;72.6;54.5;971.13;1443.06;1865.27;2511.89;2660.04
paper.io;1764.57;19.62;27.55;35.14;42.83;43.96;53814;5077;1622;9.43;31.95;0.35;32.79;75.6;53.9;40.4;346.19;486.14;620.12;755.75;775.67
Pixel Gun 3D;1688.37;10.17;17.61;22.22;26.86;27.14;53912;4870;1569;9.03;32.22;0.35;31.32;70.5;54.9;37.5;171.76;297.28;375.2;453.42;458.2
dune;1688.26;38.16;50.48;66.48;90.56;91.67;241985;61775;3613;25.53;5.85;0.03;6.98;83.5;68.6;48.8;644.32;852.23;1122.32;1528.82;1547.59
fishybits2;1641.87;27;37.61;51.5;60.28;63.42;52277;16413;1652;31.4;10.07;0.1;31.41;80;33.3;24.4;443.35;617.53;845.61;989.65;1041.24
MMX Hillclimb {38373};1639.32;46;74.2;101.3;132.23;145.06;56096;3487;1379;6.22;39.55;0.47;29.22;84.4;69.1;43.3;754.12;1216.3;1660.63;2167.69;2378.07
talking tom gold run;1626.56;15.42;22.12;27.44;33.7;36.4;186649;53723;4900;28.78;9.12;0.03;8.71;59.9;36.7;25.3;250.81;359.82;446.3;548.2;591.99
BlockCraft3d;1390.34;9.7;14.57;18.74;24.43;25.65;186786;17194;3818;9.21;22.21;0.08;7.44;67.5;44.7;30.2;134.85;202.56;260.56;339.67;356.61
dunk hit;1358.1;15.42;21.28;28.39;33.68;33.82;36418;3336;1106;9.16;33.15;0.41;37.29;73.5;54.1;33.6;209.43;288.97;385.59;457.47;459.26
sup;1343.11;32.84;49.57;63.71;82.89;87.34;37781;2662;1067;7.05;40.08;0.5;35.55;77.3;58.4;50;441.09;665.74;855.72;1113.24;1173.11
Matchington Mansion;1332.29;36.99;53.17;74.7;89.97;93.46;47705;1978;1050;4.15;53.08;0.67;27.93;75.5;48.6;41.4;492.77;708.38;995.24;1198.62;1245.11
Hot Wheels (iOS)  {39472};1288.97;17.15;26.48;31.53;41.24;42.74;61026;7305;1108;11.97;15.17;0.18;21.12;77.9;49.3;32.3;221.1;341.26;406.35;531.59;550.88
